id,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q5: What movie do you think of when thinking of this food item?,Q6: What drink would you pair with this food item?,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label
716549,3,6.0,"Week day lunch,At a party,Late night snack",5.0,cloudy with a chance of meatballs,coca cola,Friends,A little (mild),Pizza
715742,4,2.0,"Week day lunch,At a party,Late night snack",5.0,all sort of american young boy movies,coca cola,"Friends,Teachers,Strangers",none,Pizza
727333,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",,action movie,coca cola,Friends,A moderate amount (medium),Pizza
606874,4,6.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.0,mamma mia,pop,"Siblings,Friends,Teachers",I will have some of this food item with my hot sauce,Pizza
505318,2,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5.0,cloudy with a chance of meatballs,pop,"Siblings,Friends",A little (mild),Pizza
605771,4,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,none,pop,"Siblings,Friends",none,Pizza
606929,3,3.0,Week day lunch,1.0,dragon,coca cola,Friends,none,Pizza
609789,4,4.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20.0,rick and morty,coca cola,Friends,A moderate amount (medium),Pizza
644623,3,5.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.0,home alone,coca cola,none,none,Pizza
626792,3,9.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4.0,cloudy with a chance of meatballs,coca cola,"Parents,Siblings,Friends",A lot (hot),Pizza
714863,3,10.0,"Weekend dinner,At a party",20.0,none,coca cola,Friends,none,Pizza
602805,2,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12.0,the big lebowski,ice tea,"Parents,Friends",A little (mild),Pizza
602526,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6.0,spider man 2,none,"Parents,Siblings,Friends",none,Pizza
497421,4,4.0,"Weekend lunch,Weekend dinner,At a party",30.0,cloudy with a chance of meatballs,coca cola,Friends,none,Pizza
389328,3,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10.0,goodfellas,wine,"Siblings,Friends",A moderate amount (medium),Pizza
