Base,0.9039923954372624,0.8859315589353612,"(100,)",relu,adam,0.0001,0.001,100,,,constant
Bagging,0.9249049429657795,0.8973384030418251,"(100,)",relu,adam,0.0001,0.001,100,10,0.8,constant
Normalized,0.9363117870722434,0.8935361216730038,"(100,)",relu,adam,0.0001,0.001,100,,,constant
Normalized Bagging,0.94106463878327,0.8973384030418251,"(100,)",relu,adam,0.0001,0.001,100,10,0.8,constant
Tuned Base,0.9068441064638784,0.9125475285171103,"(50,)",relu,adam,0.00024004075943521644,0.00030138649046798047,25,,,constant
Tuned Bagging,0.9572243346007605,0.9543726235741445,"(50, 50)",relu,adam,0.0012563152773938662,0.00019010245319870352,25,25,1.0,constant
Tuned Normalized,0.8973384030418251,0.9201520912547528,"(50, 50)",tanh,adam,1.1650681118986128e-05,0.004159126142111956,50,,,constant
Tuned Normalized Bagging,0.9600760456273765,0.973384030418251,"(100,)",relu,adam,0.0012115379992469583,0.0004473636174621269,25,27,0.7,constant
Base,0.8859315589353612,0.9039923954372624,"(100,)",relu,adam,0.0001,0.001,100,,,constant
Bagging,0.8973384030418251,0.9249049429657795,"(100,)",relu,adam,0.0001,0.001,100,10,0.8,constant
Normalized,0.8935361216730038,0.9363117870722434,"(100,)",relu,adam,0.0001,0.001,100,,,constant
Normalized Bagging,0.8973384030418251,0.94106463878327,"(100,)",relu,adam,0.0001,0.001,100,10,0.8,constant
Tuned MLP,0.9125475285171103,0.9068441064638784,"(50,)",relu,adam,0.00024004075943521644,0.00030138649046798047,25,,,constant
Tuned Bagging,0.9543726235741445,0.9572243346007605,"(50, 50)",relu,adam,0.0012563152773938662,0.00019010245319870352,25,25,1.0,constant
Tuned Normalized MLP,0.9201520912547528,0.8973384030418251,"(50, 50)",tanh,adam,1.1650681118986128e-05,0.004159126142111956,50,,,constant
Tuned Normalized Bagging,0.973384030418251,0.9600760456273765,"(100,)",relu,adam,0.0012115379992469583,0.0004473636174621269,25,27,0.7,constant
Base,0.9039923954372624,0.8859315589353612,"(100,)",relu,adam,0.0001,0.001,100,,,constant
Bagging,0.9249049429657795,0.8973384030418251,"(100,)",relu,adam,0.0001,0.001,100,10,0.8,constant
Normalized,0.9363117870722434,0.8935361216730038,"(100,)",relu,adam,0.0001,0.001,100,,,constant
Normalized Bagging,0.94106463878327,0.8973384030418251,"(100,)",relu,adam,0.0001,0.001,100,10,0.8,constant
Tuned Base,0.9068441064638784,0.9125475285171103,"(50,)",relu,adam,0.00024004075943521644,0.00030138649046798047,25,,,constant
Tuned Bagging,0.9572243346007605,0.9543726235741445,"(50, 50)",relu,adam,0.0012563152773938662,0.00019010245319870352,25,25,1.0,constant
Tuned Normalized,0.8973384030418251,0.9201520912547528,"(50, 50)",tanh,adam,1.1650681118986128e-05,0.004159126142111956,50,,,constant
Tuned Normalized Bagging,0.9600760456273765,0.973384030418251,"(100,)",relu,adam,0.0012115379992469583,0.0004473636174621269,25,27,0.7,constant
Base,0.9363117870722434,0.8935361216730038,"(100,)",relu,adam,0.0001,0.001,100,,,constant
Bagging,0.94106463878327,0.8973384030418251,"(100,)",relu,adam,0.0001,0.001,100,10,0.8,constant
Normalized,0.9363117870722434,0.8935361216730038,"(100,)",relu,adam,0.0001,0.001,100,,,constant
Normalized Bagging,0.94106463878327,0.8973384030418251,"(100,)",relu,adam,0.0001,0.001,100,10,0.8,constant
Tuned Base,0.9068441064638784,0.9125475285171103,"(50,)",relu,adam,0.00024004075943521644,0.00030138649046798047,25,,,constant
Tuned Bagging,0.9068441064638784,0.9125475285171103,"(50,)",tanh,adam,2.7555462077796642e-05,0.0019741504223018524,10,22,1.0,constant
Tuned Normalized,0.8973384030418251,0.9201520912547528,"(50, 50)",tanh,adam,1.1650681118986128e-05,0.004159126142111956,50,,,constant
Tuned Normalized Bagging,0.9173003802281369,0.9277566539923955,"(50,)",tanh,adam,2.7555462077796642e-05,0.0019741504223018524,10,22,1.0,constant
Base,0.9039923954372624,0.8859315589353612,"(100,)",relu,adam,0.0001,0.001,100,,,constant
Bagging,0.9249049429657795,0.8973384030418251,"(100,)",relu,adam,0.0001,0.001,100,10,0.8,constant
Normalized,0.9363117870722434,0.8935361216730038,"(100,)",relu,adam,0.0001,0.001,100,,,constant
Normalized Bagging,0.94106463878327,0.8973384030418251,"(100,)",relu,adam,0.0001,0.001,100,10,0.8,constant
Tuned Base,0.9249049429657795,0.9581749049429658,"(50, 50)",relu,adam,0.006330402436741773,0.005159986718212383,25,,,constant
Tuned Bagging,0.9287072243346007,0.9315589353612167,"(50,)",tanh,adam,0.004013783023846251,0.008706020878304856,25,47,0.8,constant
Tuned Normalized,0.9325095057034221,0.9505703422053232,"(50, 50)",relu,adam,0.006330402436741773,0.005159986718212383,25,,,constant
Tuned Normalized Bagging,0.9524714828897338,0.973384030418251,"(50, 50)",relu,adam,0.0006672367170464204,0.0017249321573179,25,12,0.9,constant
