Model_Type,Hidden_Layers,Activation,Solver,Alpha,Learning_Rate_Init,Learning_Rate,Bagging_Estimators,Bagging_Samples,Train_Score,Valid_Score
Base_MLP,"(50,)",relu,adam,0.0001,0.001,constant,N/A,N/A,0.9110898661567878,0.8625954198473282
Base_MLP,"(50,)",relu,adam,0.0001,0.001,constant,N/A,N/A,0.9110898661567878,0.8625954198473282
Base_MLP,"(50,)",relu,adam,0.0001,0.001,constant,N/A,N/A,0.9110898661567878,0.8625954198473282
Base_MLP,"(50,)",relu,adam,0.0001,0.001,constant,N/A,N/A,0.9110898661567878,0.8625954198473282
Base_MLP,"(50,)",relu,adam,0.0001,0.001,constant,N/A,N/A,0.9110898661567878,0.8625954198473282
Base_MLP,"(50,)",relu,adam,0.0001,0.001,constant,N/A,N/A,0.9110898661567878,0.8625954198473282
Base_MLP,"(50,)",relu,adam,0.0001,0.001,constant,N/A,N/A,0.9110898661567878,0.8625954198473282
Base_MLP,"(50,)",relu,adam,0.0001,0.001,constant,N/A,N/A,0.9110898661567878,0.8625954198473282
Base_MLP,"(50,)",relu,adam,0.0001,0.001,constant,N/A,N/A,0.9110898661567878,0.8625954198473282
Base_MLP,"(50,)",relu,adam,0.0001,0.001,constant,N/A,N/A,0.9110898661567878,0.8625954198473282
Base_MLP,"(50,)",relu,adam,0.0001,0.001,constant,N/A,N/A,0.9110898661567878,0.8625954198473282
Base_MLP,"(50,)",relu,adam,0.0001,0.001,constant,N/A,N/A,0.9110898661567878,0.8625954198473282
Base_MLP,"(50,)",relu,adam,0.0001,0.001,constant,N/A,N/A,0.9110898661567878,0.8625954198473282
Base_MLP,"(50,)",relu,adam,0.0001,0.001,constant,N/A,N/A,0.9110898661567878,0.8625954198473282
Base_MLP,"(50,)",relu,adam,0.0001,0.001,constant,N/A,N/A,0.9177820267686424,0.8625954198473282
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.6,0.8451242829827916,0.8091603053435115
Base_MLP,"(50,)",relu,adam,0.0001,0.001,constant,N/A,N/A,0.9177820267686424,0.8625954198473282
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,0.8,0.9101338432122371,0.8702290076335878
Base_MLP,"(50,)",relu,adam,0.0001,0.001,constant,N/A,N/A,0.9177820267686424,0.8625954198473282
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,5,1.0,0.9196940726577438,0.8702290076335878
Base_MLP,"(50,)",relu,adam,0.0001,0.001,constant,N/A,N/A,0.9177820267686424,0.8625954198473282
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.6,0.8537284894837476,0.8358778625954199
Base_MLP,"(50,)",relu,adam,0.0001,0.001,constant,N/A,N/A,0.9177820267686424,0.8625954198473282
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,0.8,0.9053537284894837,0.8587786259541985
Base_MLP,"(50,)",relu,adam,0.0001,0.001,constant,N/A,N/A,0.9177820267686424,0.8625954198473282
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,10,1.0,0.9177820267686424,0.8664122137404581
Base_MLP,"(50,)",relu,adam,0.0001,0.001,constant,N/A,N/A,0.9177820267686424,0.8625954198473282
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.6,0.8623326959847036,0.8396946564885496
Base_MLP,"(50,)",relu,adam,0.0001,0.001,constant,N/A,N/A,0.9177820267686424,0.8625954198473282
Bagged_MLP,N/A,N/A,N/A,N/A,N/A,N/A,15,0.8,0.9082217973231358,0.8625954198473282
Base_MLP,"(50,)",relu,adam,0.0001,0.001,constant,N/A,N/A,0.9177820267686424,0.8625954198473282
